"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32006087",1.75673791503906,1.75673791503906,163.355499267578,257563.30808701,257651.579234993,0,257563.30808701,0,2521321.33187115,0.466899660015697,0.102154098659001
"32006088",1.24220129394531,0,157.926422119141,182124.761946294,0,-1.24220129394531,0,-182124.761946294,2433793.69852863,0.452694707512116,0.074831635095612
"32006089",0,0,1.77699995040894,0,0,0,0,0,2368736.71820722,0.388241022096364,0
"32006090",1.24220129394531,1.24220129394531,155.144683837891,182124.761946294,182187.17907369,0,182124.761946294,0,2411737.00897429,0.456834854878655,0.0755160124294613
"32006091",0,0,1.77699995040894,0,0,0,0,0,2328121.08274083,0.395014147404777,0
"32006092",0,0,0.620999991893768,0,0,0,0,0,2253047.47053783,0.408176381802745,0
"32010001",7.95396923828125,1.24220129394531,331.681854248047,1166167.48115696,182187.17907369,-6.71176794433594,182124.761946294,-984042.719210666,4100289.03101933,0.508697857622097,0.284411043303221
"32010002",8.957640625,8.957640625,129.72053527832,1313320.29227495,1313770.38856673,0,1313320.29227495,0,3984032.58671175,0.560477608611103,0.329645971434915
"32010003",6.68945849609375,2.48440258789062,161.839050292969,980771.829886958,364374.358147379,-4.20505590820312,364249.523892589,-616522.305994369,3656955.02519817,0.519670759237169,0.268193571736314
"32010004",15.1629990234375,15.1629990234375,224.377838134766,2223116.01267502,2223877.91080405,0,2223116.01267502,0,5436078.75234835,0.578129368687185,0.408955814283346
"32010005",0,0,1.77699995040894,0,0,0,0,0,2664359.73924992,0.345163887220747,0
"32010006",16.1963232421875,3.51347583007813,174.821517944336,2374616.3598977,515303.158469986,-12.6828474121094,515126.61617402,-1859489.74372368,5105782.64775502,0.645201206498699,0.465083714627337
"32010007",110.688421875,53.06686328125,91.8788681030273,16228531.2231231,7783039.81055564,-57.62155859375,7780373.34966719,-8448157.87345588,15623196.5586366,1.09760969359356,1.03874589058741
"32014001",0,0,1.77699995040894,0,0,0,0,0,2183438.63230407,0.42118919714428,0
"32014002",6.68945849609375,6.68945849609375,151.642562866211,980771.829886958,981107.956394948,0,980771.829886958,0,3240038.32414597,0.586540159194517,0.302703774389914
"32014003",0,0,1.87399995326996,0,0,0,0,0,2208730.06146197,0.416366300527119,0
"32014004",17.390818359375,17.390818359375,166.966781616211,2549746.70304269,2550620.54283848,0,2549746.70304269,0,4772020.74560789,0.727026903810052,0.534311738981739
"32014005",3.72660375976562,3.72660375976562,153.936508178711,546374.267941602,546561.519317653,0,546374.267941602,0,2731765.92969985,0.536654702570595,0.200007717352868
"32014006",1.24220129394531,2.48440258789062,160.842620849609,182124.761946294,364374.358147379,1.24220129394531,364249.523892589,182124.761946294,2257373.81772555,0.488074025599514,0.0806799301543229
"32014007",8.783689453125,5.12172705078125,156.594696044922,1287816.52253777,751176.969397299,-3.66196240234375,750919.616992846,-536896.905544922,3403168.67786184,0.648647626975292,0.378416894500476
"32014008",2.48440258789062,2.48440258789062,157.914505004883,364249.523892589,364374.358147379,0,364249.523892589,0,2496923.87061215,0.514188799889915,0.14587930700638
"32014009",1.24220129394531,1.24220129394531,159.394561767578,182124.761946294,182187.17907369,0,182124.761946294,0,2362524.36643171,0.466350968546549,0.0770890512428324
"32014010",7.85637109375,1.75673791503906,161.982223510742,1151858.1748265,257651.579234993,-6.09963317871094,257563.30808701,-894294.866739493,3423512.2754921,0.605080038476772,0.336455102869738
"32014011",0,0,1.77699995040894,0,0,0,0,0,2232079.82161002,0.412010697668782,0
"32014012",6.68945849609375,6.68945849609375,162.436584472656,980771.829886958,981107.956394948,0,980771.829886958,0,3318648.92052965,0.572646471485635,0.295533469605586
"32014013",1.75673791503906,1.75673791503906,161.595932006836,257563.30808701,257651.579234993,0,257563.30808701,0,2462120.62896107,0.478126075056568,0.104610352984895
"32014014",7.85637109375,0,152.294357299805,1151858.1748265,0,-7.85637109375,0,-1151858.1748265,3599012.18779195,0.575574305196048,0.320048422934957
"32014015",10.014947265625,6.21100634765625,176.873550415039,1468336.81106836,910935.877465032,-3.80394091796875,910623.79183419,-557713.019234166,4405376.24531869,0.542059847478376,0.333305654114938
"32014016",0,0,1.77699995040894,0,0,0,0,0,2295296.05690795,0.400663244197277,0
"32014017",8.332939453125,9.4603232421875,164.555374145508,1221730.0220266,1387496.223857,1.1273837890625,1387020.86917505,165290.847148448,3445882.88808388,0.621428776348022,0.354547749214412
"32014018",0,0,1.87399995326996,0,0,0,0,0,2302256.8405447,0.399451854527393,0
